metric,value,dependencia_terreno,tipo
tca,96523.75,0.5,Grassland
tca,142030.35,0.5,Forest
tca,344591.77,0.5,Agriculture
tca,22836.59,0.5,Urban
te,27215040,0.5,Grassland
te,35397950,0.5,Forest
te,31479860,0.5,Agriculture
te,11421450,0.5,Urban
ai,93.88301682912731,0.6,Grassland
ai,94.50968027935257,0.6,Forest
ai,97.84898729115294,0.6,Agriculture
ai,89.89892692888418,0.6,Urban
area_mn,1.1051002096602716,0.6,Grassland
area_mn,3.5175422380153036,0.6,Forest
area_mn,29.537378940526484,0.6,Agriculture
area_mn,1.8816863692769903,0.6,Urban
ca,111216.1799999999,0.6,Grassland
ca,161353.18000000002,0.6,Forest
ca,363546.06,0.6,Agriculture
ca,28810.5,0.6,Urban
cai_mn,1.2906284355907698,0.6,Grassland
cai_mn,9.7360547302586,0.6,Forest
cai_mn,7.941420900789184,0.6,Agriculture
cai_mn,6.597427335145409,0.6,Urban
circle_mn,0.43620929455673474,0.6,Grassland
circle_mn,0.6964102692033177,0.6,Forest
circle_mn,0.7120747099202298,0.6,Agriculture
circle_mn,0.7201675547432947,0.6,Urban
clumpy,0.9265438122414636,0.6,Grassland
clumpy,0.9275048944995384,0.6,Forest
clumpy,0.9525428107783372,0.6,Agriculture
clumpy,0.8944143610793319,0.6,Urban
cohesion,99.96242445221634,0.6,Grassland
cohesion,99.1480009365881,0.6,Forest
