metric,tipo,max_d,esc
6643623318.315254,ECS,0,9
NA,AWF,0,9
0,IIC,0,9
5,NC,10,9
2,LNK,10,9
6643782483.397562,SLC,10,9
1328788171.3245847,MSC,10,9
0.9999523266426539,CCP,10,9
0.24137326683797436,LCP,10,9
1,CPL,10,9
6643624117.65628,ECS,10,9
4608902285659.405,AWF,10,9
0.24137323766191301,IIC,10,9
2,NC,100,9
5,LNK,100,9
6643783882.277786,SLC,100,9
3321970428.311462,MSC,100,9
0.9999527477321848,CCP,100,9
0.2413733684825758,LCP,100,9
1.6,CPL,100,9
6643626915.350218,ECS,100,9
165369604907332.66,AWF,100,9
0.24137328848421422,IIC,100,9
1,NC,1000,9
6,LNK,1000,9
6643940856.622924,SLC,1000,9
6643940856.622924,MSC,1000,9
1,CCP,1000,9
0.24138477446058512,LCP,1000,9
1.6666666666666667,CPL,1000,9
6643940856.622924,ECS,1000,9
1623584591134294,AWF,1000,9
0.2413789916072787,IIC,1000,9
1,NC,10000,9
8,LNK,10000,9
6643940856.622924,SLC,10000,9
6643940856.622924,MSC,10000,9
1,CCP,10000,9
0.24138477446058512,LCP,10000,9
1.8571428571428572,CPL,10000,9
6643940856.622924,ECS,10000,9
2057423083966234.3,AWF,10000,9
0.24137899644758457,IIC,10000,9
1,NC,1e+05,9
16,LNK,1e+05,9
6643940856.622924,SLC,1e+05,9
6643940856.622924,MSC,1e+05,9
1,CCP,1e+05,9
0.24138477446058512,LCP,1e+05,9
1.3333333333333333,CPL,1e+05,9
6643940856.622924,ECS,1e+05,9
2106800775693855.3,AWF,1e+05,9
0.24137899644758712,IIC,1e+05,9
6,NC,0,10
0,LNK,0,10
6643782083.717447,SLC,0,10
1107323476.1038122,MSC,0,10
0.9999522063313743,CCP,0,10
0.2413732377966596,LCP,0,10
NA,CPL,0,10
6643623318.315204,ECS,0,10
NA,AWF,0,10
0,IIC,0,10
5,NC,10,10
2,LNK,10,10
6643782483.3975115,SLC,10,10
1328788171.3245747,MSC,10,10
0.9999523266426539,CCP,10,10
0.24137326683797072,LCP,10,10
1,CPL,10,10
6643624117.656229,ECS,10,10
4608902285656.302,AWF,10,10
0.24137323766190932,IIC,10,10
2,NC,100,10
5,LNK,100,10
6643783882.277736,SLC,100,10
3321970428.3114367,MSC,100,10
0.9999527477321848,CCP,100,10
0.24137336848257207,LCP,100,10
1.6,CPL,100,10
6643626915.350167,ECS,100,10
165369604907315.38,AWF,100,10
0.24137328848421055,IIC,100,10
1,NC,1000,10
6,LNK,1000,10
6643940856.622873,SLC,1000,10
6643940856.622873,MSC,1000,10
1,CCP,1000,10
0.24138477446058146,LCP,1000,10
1.6666666666666667,CPL,1000,10
6643940856.622873,ECS,1000,10
1623584591134208.3,AWF,1000,10
0.24137899160727502,IIC,1000,10
1,NC,10000,10
8,LNK,10000,10
6643940856.622873,SLC,10000,10
6643940856.622873,MSC,10000,10
1,CCP,10000,10
0.24138477446058146,LCP,10000,10
1.8571428571428572,CPL,10000,10
6643940856.622873,ECS,10000,10
2057423083966128.8,AWF,10000,10
0.24137899644758087,IIC,10000,10
1,NC,1e+05,10
16,LNK,1e+05,10
6643940856.622873,SLC,1e+05,10
6643940856.622873,MSC,1e+05,10
1,CCP,1e+05,10
